Gene ID	chisq	half_life_y	self.half_life_x
AT1G01020	0.02	0.5	1.744
AT1G01030	0.02	0.5	0.887
AT1G01040	0.007	0.5	1.311
AT1G01050	0.019	0.5	2.174
AT1G01060	0.029	0.5	1.747
AT1G01070	0.034	0.5	0.78
AT1G01080	0.028	0.5	2.51
AT1G01090	0.004	0.5	2.422
AT1G01100	0.059	0.5	3.083
AT1G01110	0.028	0.5	0.793
AT1G01120	0.003	0.5	1.086
AT1G01130	0.005	0.501	0.389
AT1G01140	0.009	0.5	1.112
AT1G01160	0.039	0.5	1.455
AT1G01170	0.065	0.5	1.374
AT1G01180	0.028	0.5	1.025
AT1G01190	0.134	0.5	3.647
AT1G01210	0.016	0.5	1.215
AT1G01220	0.012	0.5	1.468
AT1G01230	0.053	0.5	2.587
AT1G01240	0.009	0.5	1.14
AT1G01260	0.01	0.5	0.622
AT1G01290	0.024	0.5	1.737
AT1G01300	0.07	0.5	2.43
AT1G01320	0.063	0.5	1.371
AT1G01340	0.005	0.5	1.53
AT1G01350	0.015	0.5	1.32
AT1G01360	0.088	0.5	2.037
AT1G01370	0.024	0.5	0.795
AT1G01390	0.206	0.5	4.267
AT1G01420	0.115	0.5	4.228
AT1G01430	0.056	0.5	3.734
AT1G01440	0.015	0.5	0.744
AT1G01448	0.01	0.5	1.151
AT1G01450	0.008	0.5	1.052
AT1G01480	0.049	0.5	0.501
AT1G01490	0.047	0.5	1.619
AT1G01500	0.005	0.5	1.566
AT1G01510	0.02	0.5	1.353
AT1G01540	0.008	0.5	0.778
AT1G01550	0.01	0.5	0.82
AT1G01560	0.004	0.501	0.296
AT1G01570	0.158	0.5	2.946
AT1G01600	0.036	0.5	1.692
AT1G01620	0.018	0.5	1.224
AT1G01630	0.007	0.5	2.708
AT1G01640	0.061	0.5	1.026
AT1G01650	0.041	0.5	2.276
AT1G01660	0.384	0.5	0.667
AT1G01690	0.029	0.5	1.307
AT1G01710	0.014	0.5	2.454
AT1G01715	0.148	0.5	3.227
AT1G01720	0.049	0.5	1.364
AT1G01725	0.022	0.5	1.694
AT1G01730	0.017	0.5	1.676
AT1G01740	0.025	0.5	1.691
AT1G01750	0.009	0.5	2.071
AT1G01760	0.015	0.5	1.858
AT1G01770	0.029	0.5	0.981
AT1G01780	0.023	0.5	0.895
AT1G01790	0.031	0.5	2.32
AT1G01800	0.032	0.5	2.756
AT1G01820	0.017	0.5	2.24
AT1G01830	0.022	0.5	2.682
AT1G01840	0.113	0.5	2.835
AT1G01860	0.06	0.5	1.587
AT1G01880	0.011	0.5	1.147
AT1G01910	0.006	0.5	1.904
AT1G01920	0.018	0.5	2.584
AT1G01930	0.022	0.5	1.268
AT1G01940	0.034	0.5	3.747
AT1G01950	0.01	0.5	0.839
AT1G01960	0.004	0.5	1.44
AT1G01970	0.03	0.5	1.395
AT1G01990	0.011	0.5	1.58
AT1G02000	0.007	0.5	1.083
AT1G02010	0.008	0.5	1.544
AT1G02020	0.023	0.5	1.583
AT1G02030	0.362	0.5	2.578
AT1G02050	0.049	0.5	0.813
AT1G02060	0.04	0.5	0.933
AT1G02065	0.019	0.5	1.447
AT1G02080	0.004	0.5	1.595
AT1G02090	0.024	0.5	2.114
AT1G02100	0.028	0.5	2.446
AT1G02110	0.055	0.5	1.507
AT1G02120	0.009	0.5	2.399
AT1G02130	0.007	0.5	2.125
AT1G02140	0.014	0.5	3.297
AT1G02145	0.007	0.5	1.903
AT1G02150	0.017	0.5	1.513
AT1G02160	0.079	0.5	3.381
AT1G02170	0.008	0.5	1.617
AT1G02180	0.068	0.5	2.885
AT1G02220	0.112	0.5	1.97
AT1G02230	0.028	0.501	0.431
AT1G02260	0.018	0.5	1.077
AT1G02270	0.005	0.5	1.14
AT1G02280	0.029	0.5	3.012
AT1G02290	0.007	0.5	1.719
AT1G02300	0.011	0.5	1.927
AT1G02305	0.019	0.5	2.028
AT1G02330	0.034	0.5	1.606
AT1G02335	0.046	0.5	10.602
AT1G02360	0.038	0.5	2.852
AT1G02370	0.009	0.5	2.109
AT1G02380	0.056	0.5	0.482
AT1G02390	0.008	0.501	0.411
AT1G02400	0	0.5	0.545
AT1G02410	0.016	0.5	1.051
AT1G02420	0.015	0.5	0.914
AT1G02430	0.024	0.5	0.829
AT1G02470	0.042	0.5	1.686
AT1G02475	0.013	0.5	2.915
AT1G02500	0.019	0.5	3.014
AT1G02520	0.023	0.5	1.304
AT1G02560	0.017	0.5	3.996
AT1G02580	0.004	0.5	1.457
AT1G02610	0.006	0.5	1.775
AT1G02620	0.062	0.5	0.827
AT1G02640	0.018	0.5	1.161
AT1G02650	0.041	0.5	2.303
AT1G02660	0.006	0.5	0.452
AT1G02670	0.008	0.5	1.362
AT1G02680	0.028	0.5	1.214
AT1G02690	0.011	0.5	1.99
AT1G02700	0.036	0.5	2.779
AT1G02705	0.058	0.5	2.805
AT1G02710	0.055	0.5	2.594
AT1G02720	0.02	0.5	1.92
AT1G02730	0.073	0.5	0.591
AT1G02740	0.015	0.5	1.3
AT1G02750	0.057	0.5	1.019
AT1G02770	0.223	0.5	5.357
AT1G02780	0.02	0.5	3.121
AT1G02800	0.134	0.5	1.078
AT1G02810	0.007	0.5	0.262
AT1G02816	0.031	0.5	0.795
AT1G02820	0.133	0.5	0.774
AT1G02840	0.038	0.5	1.493
AT1G02850	0.013	0.5	3.212
AT1G02860	0.012	0.5	1.076
AT1G02870	0.037	0.5	1.558
AT1G02880	0.051	0.5	1.69
AT1G02890	0.006	0.5	1.833
AT1G02900	0.058	0.5	1.514
AT1G02910	0.019	0.5	2.533
AT1G02920	0.02	0.5	3.016
AT1G02930	0.024	0.5	2.709
AT1G02940	0.175	0.5	1.181
AT1G02950	0.069	0.5	3.15
AT1G02952	0.155	0.5	3.478
AT1G02960	0.012	0.5	2.235
AT1G02970	0.247	0.5	7.859
AT1G02990	0.016	0.5	1.639
AT1G03000	0.019	0.5	1.098
AT1G03010	0.007	0.5	0.958
AT1G03030	0.009	0.5	2.044
AT1G03040	0.009	0.5	1.708
AT1G03050	0.713	0.5	7.786
AT1G03055	0.211	0.5	2.725
AT1G03060	0.004	0.5	1.377
AT1G03080	0.047	0.5	1.682
AT1G03090	0.009	0.5	0.854
AT1G03100	0.048	0.5	0.969
AT1G03106	0.067	0.5	2.838
AT1G03110	0.017	0.5	1.736
AT1G03130	0.043	0.5	1.89
AT1G03140	0.01	0.5	1.345
AT1G03150	0.01	0.5	1.579
AT1G03160	0.014	0.5	2.661
AT1G03190	0.013	0.5	1.571
AT1G03200	0.048	0.5	2.579
AT1G03210	0.012	0.5	1.219
AT1G03220	0.02	0.5	1.025
AT1G03230	0.017	0.5	1.177
AT1G03250	0.014	0.5	1.608
AT1G03260	0.012	0.5	1.618
AT1G03270	0.039	0.5	2.096
AT1G03280	0.023	0.5	1.774
AT1G03290	0.014	0.5	1.019
AT1G03300	0.061	0.5	0.61
AT1G03310	0.046	0.5	2.175
AT1G03330	0.029	0.5	2.102
AT1G03340	0.076	0.5	0.686
AT1G03350	0.017	0.5	1.725
AT1G03360	0.017	0.5	1.851
AT1G03365	0.033	0.5	1.17
AT1G03370	0.004	0.5	0.87
AT1G03380	0.009	0.5	1.211
AT1G03400	0.028	0.5	0.937
AT1G03410	0.015	0.5	1.721
AT1G03430	0.005	0.5	1.503
AT1G03440	0.015	0.5	0.942
AT1G03457	0.02	0.5	0.598
AT1G03470	0.044	0.5	0.618
AT1G03475	0.032	0.5	2.211
AT1G03495	0.011	0.5	3.563
AT1G03510	0.009	0.5	0.792
AT1G03520	0.016	0.5	0.753
AT1G03530	0.009	0.5	1.744
AT1G03540	0.036	0.5	1.453
AT1G03545	0.006	0.5	1.456
AT1G03550	0.006	0.5	1.535
AT1G03560	0.014	0.5	0.828
AT1G03590	0.005	0.5	1.994
AT1G03600	0.063	0.5	1.118
AT1G03610	0.008	0.5	0.883
AT1G03620	0.037	0.5	0.763
AT1G03630	0.038	0.5	3.064
AT1G03650	0.066	0.5	1.093
AT1G03660	0.148	0.501	0.543
AT1G03680	0.031	0.5	2.318
AT1G03687	0.017	0.5	1.737
AT1G03730	0.008	0.5	0.501
AT1G03740	0.01	0.5	0.638
AT1G03750	0.012	0.5	0.848
AT1G03760	0.017	0.5	1.849
AT1G03770	0.019	0.5	1.48
AT1G03780	0.062	0.5	0.872
AT1G03790	0.017	0.5	1.843
AT1G03800	0.034	0.5	0.458
AT1G03820	0.283	0.5	4.04
AT1G03830	0.036	0.5	1.976
AT1G03840	0.123	0.5	1.407
AT1G03850	0.045	0.5	0.747
AT1G03860	0.009	0.5	2.865
AT1G03870	0.044	0.5	0.689
AT1G03900	0.008	0.5	3.324
AT1G03905	0.029	0.5	1.226
AT1G03910	0.016	0.5	1.456
AT1G03920	0.033	0.5	1.028
AT1G03930	0.006	0.5	1.832
AT1G03940	0.002	0.5	3.341
AT1G03950	0.029	0.5	2.693
AT1G03960	0.006	0.5	1.784
AT1G03970	0.016	0.5	0.684
AT1G03990	0.005	0.5	0.712
AT1G03993	0.004	0.5	1.618
AT1G04000	0.018	0.5	0.748
AT1G04007	0.046	0.5	1.675
AT1G04010	0.036	0.5	2.465
AT1G04013	0.043	0.5	1.188
AT1G04017	0.022	0.5	1.16
AT1G04020	0.034	0.5	1.421
AT1G04027	0.006	0.501	0.587
AT1G04030	0.17	0.5	5.034
AT1G04047	0.039	0.5	1.307
AT1G04050	0.037	0.5	1.574
AT1G04053	0.003	0.5	1.879
AT1G04070	0.018	0.5	2.088
AT1G04073	0.044	0.5	2.478
AT1G04080	0.01	0.5	1.656
AT1G04083	0.007	0.5	1.386
AT1G04097	0.012	0.5	2.375
AT1G04100	0.014	0.5	0.722
AT1G04117	0.015	0.5	0.831
AT1G04120	0.037	0.5	2.129
AT1G04140	0.002	0.5	1.699
AT1G04147	0.022	0.5	1.146
AT1G04157	0.003	0.5	0.835
AT1G04163	0.149	0.5	0.908
AT1G04170	0.008	0.5	2.472
AT1G04183	0.014	0.5	1.498
AT1G04187	0.024	0.5	4.095
AT1G04190	0.009	0.5	2.57
AT1G04200	0.003	0.5	0.989
AT1G04210	0.01	0.5	0.851
AT1G04213	0.106	0.5	0.587
AT1G04223	0.004	0.5	2.437
AT1G04227	0.055	0.5	2.353
AT1G04230	0.015	0.5	1.727
AT1G04233	0.018	0.5	0.69
AT1G04240	0.007	0.5	2.848
AT1G04250	0.032	0.5	3.824
AT1G04260	0.014	0.5	2.27
AT1G04270	0.023	0.5	3.117
AT1G04277	0.134	0.5	0.737
AT1G04280	0.068	0.5	0.969
AT1G04290	0.043	0.5	2.366
AT1G04295	0.051	0.5	2.288
AT1G04297	0.012	0.5	2.103
AT1G04300	0.024	0.5	1.019
AT1G04303	0.051	0.5	2.903
AT1G04310	0.006	0.5	0.527
AT1G04340	0.015	0.5	1.559
AT1G04343	0.031	0.5	2.779
AT1G04347	0.017	0.5	3.443
AT1G04350	0.019	0.5	1.824
