gene_ID	N_GRO	N_RNA
AT1G01010	1.854 	3.773 
AT1G01020	31.910 	9.493 
AT1G01030	5.124 	1.663 
AT1G01040	16.494 	11.365 
AT1G01050	32.667 	113.693 
AT1G01060	250.323 	596.999 
AT1G01070	1.006 	4.454 
AT1G01080	17.782 	104.642 
AT1G01090	44.816 	104.778 
AT1G01100	97.181 	214.646 
AT1G01110	1.990 	1.264 
AT1G01120	70.395 	61.347 
AT1G01130	2.964 	3.399 
AT1G01140	73.025 	43.775 
AT1G01150	0.138 	0.000 
AT1G01160	21.179 	26.511 
AT1G01170	71.239 	120.796 
AT1G01180	21.023 	13.649 
AT1G01200	1.192 	0.994 
AT1G01210	13.182 	26.870 
AT1G01220	8.106 	8.196 
AT1G01225	1.133 	1.435 
AT1G01230	9.301 	25.740 
AT1G01240	13.496 	7.756 
AT1G01250	5.880 	2.479 
AT1G01260	17.246 	5.961 
AT1G01290	5.994 	13.018 
AT1G01300	14.343 	15.029 
AT1G01320	90.618 	86.246 
AT1G01340	2.504 	6.824 
AT1G01350	7.760 	22.532 
AT1G01355	0.000 	0.150 
AT1G01360	20.693 	16.035 
AT1G01370	1.022 	3.083 
AT1G01380	3.078 	1.737 
AT1G01390	5.208 	12.974 
AT1G01420	8.914 	7.185 
AT1G01430	60.543 	44.820 
AT1G01440	12.119 	12.252 
AT1G01470	14.834 	51.624 
AT1G01480	0.274 	0.869 
AT1G01490	254.270 	118.864 
AT1G01500	3.354 	3.100 
AT1G01510	11.131 	15.714 
AT1G01520	5.679 	10.391 
AT1G01540	61.219 	77.758 
AT1G01550	146.618 	110.914 
AT1G01560	3.050 	2.826 
AT1G01570	0.608 	0.208 
AT1G01580	0.237 	0.939 
AT1G01600	1.673 	1.411 
AT1G01610	23.274 	24.285 
AT1G01620	240.039 	228.953 
AT1G01630	10.337 	29.971 
AT1G01640	0.457 	3.279 
AT1G01650	15.038 	12.553 
AT1G01660	2.644 	1.161 
AT1G01670	1.980 	2.021 
AT1G01680	0.192 	1.410 
AT1G01690	0.919 	1.699 
AT1G01710	15.247 	15.894 
AT1G01720	63.704 	23.220 
AT1G01725	12.069 	16.958 
AT1G01730	6.796 	24.184 
AT1G01740	2.316 	5.398 
AT1G01760	2.993 	4.709 
AT1G01770	7.006 	8.400 
AT1G01780	12.393 	7.053 
AT1G01790	19.072 	80.854 
AT1G01800	22.413 	51.804 
AT1G01810	0.468 	0.296 
AT1G01820	11.776 	58.665 
AT1G01830	9.874 	6.837 
AT1G01840	3.650 	0.975 
AT1G01860	9.586 	14.264 
AT1G01880	1.192 	1.078 
AT1G01900	1.578 	2.723 
AT1G01910	8.947 	25.673 
AT1G01920	3.128 	11.619 
AT1G01930	10.225 	7.565 
AT1G01940	1.547 	15.007 
AT1G01950	8.049 	10.484 
AT1G01960	18.342 	17.570 
AT1G01970	9.929 	25.392 
AT1G01990	11.599 	26.177 
AT1G02000	7.021 	6.035 
AT1G02010	5.274 	6.769 
AT1G02020	9.098 	5.938 
AT1G02050	3.602 	7.020 
AT1G02060	4.737 	6.351 
AT1G02065	0.997 	0.646 
AT1G02070	0.386 	0.313 
AT1G02080	22.090 	17.130 
AT1G02090	11.690 	23.995 
AT1G02100	16.492 	44.105 
AT1G02110	8.474 	12.915 
AT1G02120	16.054 	59.261 
AT1G02130	17.589 	33.086 
AT1G02140	26.515 	103.119 
AT1G02145	8.685 	18.149 
AT1G02150	30.625 	56.482 
AT1G02160	17.031 	27.472 
AT1G02170	10.917 	8.650 
AT1G02180	3.372 	3.276 
AT1G02190	0.603 	0.138 
AT1G02205	5.603 	5.261 
AT1G02220	1.087 	4.109 
AT1G02260	7.615 	11.066 
AT1G02270	6.665 	9.867 
AT1G02280	24.773 	113.820 
AT1G02290	4.112 	3.951 
AT1G02300	9.224 	6.433 
AT1G02305	21.367 	58.511 
AT1G02330	10.131 	23.681 
AT1G02335	1.237 	12.870 
AT1G02340	7.603 	8.516 
AT1G02350	8.407 	2.829 
AT1G02360	0.638 	3.464 
AT1G02370	2.782 	4.217 
AT1G02380	5.935 	1.954 
AT1G02390	0.260 	0.430 
AT1G02400	3.621 	1.899 
AT1G02410	16.091 	24.269 
AT1G02420	5.198 	5.707 
AT1G02450	0.000 	0.364 
AT1G02470	6.462 	6.388 
AT1G02475	31.828 	109.966 
AT1G02500	51.868 	237.605 
AT1G02560	32.770 	233.849 
AT1G02590	0.000 	0.000 
AT1G02610	29.861 	6.206 
AT1G02620	0.133 	0.435 
AT1G02630	0.210 	0.117 
AT1G02640	14.539 	7.385 
AT1G02650	8.078 	0.643 
AT1G02660	15.311 	2.551 
AT1G02670	0.261 	0.478 
AT1G02680	16.552 	10.189 
AT1G02690	0.716 	3.224 
AT1G02720	4.174 	5.603 
AT1G02730	2.496 	3.114 
AT1G02740	3.280 	6.298 
AT1G02750	14.221 	19.481 
AT1G02780	101.359 	410.330 
AT1G02790	0.583 	0.000 
AT1G02800	0.208 	0.537 
AT1G02816	26.423 	14.125 
AT1G02820	17.189 	12.273 
AT1G02840	32.278 	98.022 
AT1G02850	4.527 	15.847 
AT1G02860	11.914 	10.466 
AT1G02870	5.933 	24.456 
AT1G02880	12.601 	15.619 
AT1G02890	18.895 	25.761 
AT1G02900	0.569 	2.717 
AT1G02910	17.609 	43.206 
