miRNA_ID	Target_ID	Score	Total_Mispair	Seed_Mispair	Pred_Cleav
ath-miR171c-5p	AT3G45410.1	5	4	0	No
ath-miR838	AT1G79810.1	4.5	4	0	No
ath-miR838	AT1G79810.2	4.5	4	0	No
ath-miR159a	AT2G36850.1	5	5	1	Yes
ath-miR395a	AT2G28780.1	1.5	2	0	Yes
ath-miR172d-5p	AT3G55150.1	3.5	3	1	Yes
ath-miR398a-3p	AT1G12520.3	5	5	0	Yes
ath-miR398a-3p	AT1G12520.1	5	5	0	Yes
ath-miR398a-3p	AT1G12520.2	5	5	0	Yes
ath-miR5021	AT1G20350.1	4.5	4	1	Yes
ath-miR856	AT1G12920.1	4	5	1	Yes
ath-miR838	AT3G12860.1	5	4	0	No
ath-miR396a-5p	AT5G01370.1	4	5	0	No
ath-miR173-5p	AT4G04920.1	5	5	0	Yes
ath-miR173-5p	AT4G04920.2	5	5	0	Yes
ath-miR396a-3p	AT3G57860.1	4.5	6	0	Yes
ath-miR838	AT3G06400.1	4	4	0	Yes
ath-miR838	AT3G06400.3	4	4	0	Yes
ath-miR859	AT3G17265.1	0.5	1	0	Yes
ath-miR158a-5p	AT4G32710.1	5	4	1	No
ath-miR840-3p	AT5G52520.1	5	4	1	Yes
ath-miR396a-5p	AT5G02910.1	5	5	1	Yes
ath-miR396a-5p	AT5G02910.2	5	5	1	Yes
ath-miR172c	AT4G23290.2	4.5	5	0	Yes
ath-miR172b-3p	AT4G23320.1	4	5	0	Yes
ath-miR172d-3p	AT4G23260.1	5	6	0	Yes
ath-miR172c	AT4G23210.3	4.5	5	0	Yes
ath-miR172c	AT4G23150.1	4.5	5	0	Yes
ath-miR172c	AT4G27300.1	4.5	5	0	Yes
ath-miR172c	AT4G23270.1	4.5	5	0	Yes
ath-miR172c	AT4G23280.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23250.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G11530.1	4.5	5	0	Yes
ath-miR172c	AT4G23160.1	4.5	5	0	Yes
ath-miR172e-3p	AT4G23320.1	4	5	0	Yes
ath-miR172d-3p	AT4G23290.2	4.5	5	0	Yes
ath-miR172d-3p	AT4G23140.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23320.1	4.5	5	0	Yes
ath-miR172c	AT4G23310.1	4.5	5	0	Yes
ath-miR172c	AT4G23130.2	4.5	5	0	Yes
ath-miR172c	AT4G23230.1	5	6	0	Yes
ath-miR172c	AT4G23210.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23270.1	4.5	5	0	Yes
ath-miR172c	AT4G23140.2	4.5	5	0	Yes
ath-miR172d-3p	AT4G23140.2	4.5	5	0	Yes
ath-miR172c	AT4G23210.2	4.5	5	0	Yes
ath-miR172c	AT4G23260.2	5	6	0	Yes
ath-miR172d-3p	AT4G23150.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23230.1	5	6	0	Yes
ath-miR172c	AT4G23260.1	5	6	0	Yes
