positions	A_count	T_count	G_count	C_count
1	237	287	265	211
2	239	299	261	201
3	245	290	251	214
4	241	310	246	203
5	255	265	257	223
6	247	274	259	220
7	237	299	247	217
8	237	315	255	193
9	246	318	246	190
10	244	297	260	199
11	235	329	229	207
12	255	312	243	190
13	221	331	249	199
14	219	323	230	228
15	246	311	244	199
16	261	303	247	189
17	244	327	240	189
18	263	284	265	188
19	243	319	242	196
20	258	319	224	199
21	242	319	228	211
22	248	288	259	205
23	242	311	256	191
24	250	297	262	191
25	250	315	227	208
26	242	313	237	208
27	236	319	243	202
28	224	342	220	214
29	257	323	235	185
30	237	346	234	183
31	239	321	238	202
32	230	291	267	212
33	270	280	265	185
34	263	333	223	181
35	256	341	224	179
36	250	310	240	200
37	233	313	261	193
38	254	302	248	196
39	223	356	224	197
40	267	299	240	194
41	247	338	239	176
42	225	335	258	182
43	234	361	235	170
44	251	325	214	210
45	253	324	224	199
46	251	316	244	189
47	221	348	231	200
48	231	319	259	191
49	265	332	217	186
50	241	312	256	191
51	251	329	232	188
52	246	343	220	191
53	242	319	250	189
54	255	320	219	206
55	250	330	242	178
56	225	344	229	202
57	251	332	230	187
58	270	317	213	200
59	239	313	238	210
60	234	335	247	184
61	247	334	242	177
62	242	349	225	184
63	243	351	223	183
64	252	352	211	185
65	271	325	225	179
66	259	325	225	191
67	265	304	244	187
68	262	333	228	177
69	245	360	223	172
70	244	326	237	193
71	257	333	244	166
72	241	296	260	203
73	250	316	213	221
74	226	350	237	187
75	251	335	226	188
76	259	344	211	186
77	241	342	228	189
78	252	337	220	191
79	239	328	222	211
80	247	332	231	190
81	238	323	227	212
82	263	321	223	193
83	242	344	218	196
84	268	317	241	174
85	229	360	228	183
86	235	348	219	198
87	243	359	214	184
88	254	354	223	169
89	267	351	202	180
90	248	323	244	185
91	249	339	229	183
92	276	311	235	178
93	253	316	235	196
94	262	367	217	154
95	267	319	233	181
96	256	351	219	174
97	243	354	203	200
98	249	349	219	183
99	257	330	212	201
100	263	344	209	184
101	259	325	230	186
102	267	349	215	169
103	260	336	233	171
104	257	337	221	185
105	265	329	220	186
106	281	325	195	199
107	256	350	207	187
108	286	316	226	172
109	268	336	211	185
110	276	332	219	173
111	280	344	218	158
112	269	341	189	201
113	278	343	202	177
114	257	349	207	187
115	270	338	212	180
116	268	357	203	172
117	301	322	206	171
118	286	344	186	184
119	311	309	206	174
120	313	309	188	190
121	288	335	201	176
122	319	336	189	156
123	305	302	227	166
124	308	328	211	153
125	326	314	211	149
126	354	290	190	166
127	360	318	193	129
128	379	321	178	122
129	385	308	176	131
130	389	312	153	146
131	379	308	178	135
132	380	315	181	124
133	398	300	165	137
134	360	316	183	141
135	385	265	221	129
136	348	299	202	151
137	326	318	204	152
138	277	327	219	177
139	269	329	222	180
140	241	362	207	190
141	246	401	187	166
142	227	420	205	148
143	205	476	179	140
144	172	512	175	141
145	170	461	200	169
146	144	444	227	185
147	156	396	236	212
148	135	447	241	177
149	130	413	217	240
150	5	411	180	404
151	895	54	20	31
152	484	245	147	124
153	314	360	136	190
154	223	398	173	206
155	245	342	205	208
156	235	370	198	197
157	198	379	230	193
158	199	376	238	187
159	194	373	243	190
160	169	385	236	210
161	182	387	234	197
162	169	380	228	223
163	219	368	198	215
164	205	380	192	223
165	207	357	207	229
166	244	367	177	212
167	228	385	202	185
168	241	358	213	188
169	228	387	200	185
170	199	397	193	211
