positions	A_count	T_count	G_count	C_count
1	292	322	215	171
2	274	347	216	163
3	281	339	208	172
4	291	343	195	171
5	293	339	196	172
6	289	330	212	169
7	276	358	200	166
8	277	370	197	156
9	301	358	194	147
10	293	335	205	167
11	290	362	177	171
12	300	367	186	147
13	246	382	199	173
14	263	367	185	185
15	284	367	196	153
16	290	353	206	151
17	276	386	186	152
18	308	333	204	155
19	286	367	192	155
20	298	359	180	163
21	263	373	180	184
22	285	343	203	169
23	285	354	196	165
24	291	337	211	161
25	300	353	172	175
26	293	356	192	159
27	294	369	187	150
28	249	373	191	187
29	293	376	180	151
30	293	374	176	157
31	283	367	184	166
32	264	350	221	165
33	311	326	222	141
34	291	375	175	159
35	281	417	159	143
36	293	363	196	148
37	280	356	216	148
38	294	356	194	156
39	278	391	175	156
40	304	354	192	150
41	277	387	191	145
42	254	396	210	140
43	299	384	179	138
44	297	371	174	158
45	296	382	163	159
46	292	371	182	155
47	268	391	202	139
48	256	403	192	149
49	302	387	171	140
50	278	373	195	154
51	296	369	182	153
52	280	407	173	140
53	270	392	185	153
54	295	371	173	161
55	287	387	174	152
56	256	406	193	145
57	290	384	168	158
58	318	380	152	150
59	252	403	178	167
60	279	386	183	152
61	278	394	183	145
62	274	403	174	149
63	281	404	170	145
64	296	386	160	158
65	297	383	177	143
66	303	399	150	148
67	293	375	183	149
68	292	399	170	139
69	285	427	153	135
70	272	405	168	155
71	282	409	167	142
72	262	391	197	150
73	278	388	157	177
74	259	409	179	153
75	269	403	173	155
76	290	414	152	144
77	263	403	183	151
78	276	397	168	159
79	265	389	176	170
80	287	397	175	141
81	268	388	185	159
82	293	376	174	157
83	282	411	163	144
84	311	377	179	133
85	276	422	159	143
86	261	407	170	162
87	280	392	173	155
88	298	381	186	135
89	296	395	158	151
90	284	392	182	142
91	299	386	186	129
92	296	392	171	141
93	279	395	175	151
94	300	411	175	114
95	289	383	179	149
96	307	380	180	133
97	278	398	168	156
98	276	389	192	143
99	297	380	164	159
100	308	383	171	138
101	288	373	184	155
102	292	407	170	131
103	297	398	176	129
104	296	376	173	155
105	284	376	194	146
106	306	376	155	163
107	297	372	169	162
108	319	364	187	130
109	303	372	175	150
110	309	367	187	137
111	304	403	170	123
112	285	395	178	142
113	298	405	144	153
114	278	411	161	150
115	310	383	165	142
116	297	411	147	145
117	314	377	154	155
118	307	375	161	157
119	331	355	170	144
120	328	367	155	150
121	289	415	159	137
122	328	382	155	135
123	304	376	179	141
124	315	395	162	128
125	325	392	148	135
126	356	359	151	134
127	354	376	155	115
128	376	395	135	94
129	402	349	145	104
130	404	347	129	120
131	412	335	146	107
132	419	342	147	92
133	421	333	129	117
134	401	340	135	124
135	424	302	175	99
136	416	329	142	113
137	383	351	150	116
138	340	371	165	124
139	329	375	152	144
140	291	402	159	148
141	278	432	160	130
142	265	451	154	130
143	248	500	139	113
144	217	548	129	106
145	214	501	148	137
146	196	494	160	150
147	226	441	167	166
148	258	407	162	173
149	199	449	159	193
150	45	389	168	398
151	806	123	32	39
152	491	322	88	99
153	355	407	96	142
154	258	419	164	159
155	273	390	172	165
156	276	379	179	166
157	251	395	191	163
158	264	402	168	166
159	267	401	197	135
160	233	416	164	187
161	237	412	193	158
162	243	407	168	182
163	284	398	151	167
164	295	399	131	175
165	285	382	156	177
166	350	364	118	168
167	312	390	147	151
168	333	351	164	152
169	321	366	160	153
170	300	376	150	174
