position	counts	peaker
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	1	0
44	9	0
45	0	0
46	0	0
47	0	0
48	0	0
49	1	0
50	5	0
51	5	0
52	2	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	1	0
63	0	0
64	3	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	3	0
79	1	0
80	0	0
81	11	0
82	0	0
83	0	0
84	4	0
85	4	0
86	1	0
87	1	0
88	1	0
89	1	0
90	0	0
91	0	0
92	0	0
93	0	0
94	1	0
95	1	0
96	0	0
97	0	0
98	1	0
99	1	0
100	1	0
101	3	0
102	6	0
103	8	0
104	27	0
105	5	0
106	2	0
107	8	0
108	44	0
109	6	0
110	8	0
111	3	0
112	1	0
113	1	0
114	0	0
115	0	0
116	0	0
117	3	0
118	1	0
119	1	0
120	34	0
121	53	0
122	0	0
123	1	0
124	11	0
125	56	0
126	2	0
127	1	0
128	43	0
129	3	0
130	2	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	4	0
137	2	0
138	3	0
139	0	0
140	18	0
141	29	0
142	23	0
143	6	0
144	3	0
145	1	0
146	11	0
147	42	0
148	1131	0
149	2443	0
150	4995	4995
151	519	0
152	408	0
153	299	0
154	256	0
155	164	0
156	131	0
157	106	0
158	88	0
159	105	0
160	65	0
161	24	0
162	6	0
163	21	0
164	21	0
165	4	0
166	63	0
167	6	0
168	9	0
169	2	0
170	6	0
171	2	0
172	3	0
173	5	0
174	6	0
175	3	0
176	4	0
177	0	0
178	0	0
179	3	0
180	1	0
181	1	0
182	0	0
183	1	0
184	0	0
185	1	0
186	2	0
187	1	0
188	2	0
189	4	0
190	1	0
191	1	0
192	1	0
193	2	0
194	0	0
195	1	0
196	4	0
197	1	0
198	0	0
199	1	0
200	2	0
201	1	0
202	2	0
203	2	0
204	9	0
205	7	0
206	1	0
207	4	0
208	5	0
209	2	0
210	5	0
211	2	0
212	5	0
213	1	0
214	4	0
215	3	0
216	3	0
217	7	0
218	3	0
219	7	0
220	0	0
221	0	0
222	189	189
