positions	A_count	T_count	G_count	C_count
1	7231	8201	5049	4048
2	6945	8354	5031	4199
3	7043	8304	5019	4163
4	7109	8277	4999	4144
5	7188	8499	4852	3990
6	7020	8429	4875	4205
7	7168	8436	4829	4096
8	6962	8458	4971	4138
9	7130	8467	4907	4025
10	7039	8523	4889	4078
11	7144	8443	4876	4066
12	7068	8619	4781	4061
13	7037	8666	4810	4016
14	7063	8619	4809	4038
15	6964	8737	4786	4042
16	6942	8720	4698	4169
17	7015	8702	4733	4079
18	6958	8794	4858	3919
19	7133	8811	4635	3950
20	7047	8753	4738	3991
21	6911	8768	4826	4024
22	7059	8837	4713	3920
23	6947	8824	4723	4035
24	7085	8783	4655	4006
25	7046	8872	4701	3910
26	6950	8847	4742	3990
27	7002	9035	4564	3928
28	6920	8986	4705	3918
29	6981	8942	4672	3934
30	7004	8918	4679	3928
31	6998	8888	4719	3924
32	6895	9081	4668	3885
33	6872	9122	4651	3884
34	6880	9035	4693	3921
35	6839	9291	4519	3880
36	6974	9136	4627	3792
37	7024	9066	4589	3850
38	6987	9188	4518	3836
39	7004	9230	4516	3779
40	6949	9271	4485	3824
41	6998	9218	4481	3832
42	6861	9299	4502	3867
43	7038	9339	4408	3744
44	6838	9414	4439	3838
45	6934	9333	4562	3700
46	6982	9276	4449	3822
47	6946	9304	4529	3750
48	6840	9313	4582	3794
49	6959	9368	4514	3688
50	6928	9307	4579	3715
51	6893	9381	4476	3779
52	6977	9443	4489	3620
53	6921	9436	4468	3704
54	6908	9371	4448	3802
55	6844	9505	4444	3736
56	6934	9426	4443	3726
57	6985	9392	4414	3738
58	6932	9549	4427	3621
59	6800	9605	4395	3729
60	6938	9508	4405	3678
61	6890	9599	4330	3710
62	6909	9487	4481	3652
63	6824	9602	4398	3705
64	6894	9640	4370	3625
65	6935	9595	4363	3636
66	6927	9677	4377	3548
67	6918	9577	4425	3609
68	6879	9730	4272	3648
69	6933	9674	4371	3551
70	6909	9665	4337	3618
71	6813	9710	4369	3637
72	6885	9659	4388	3597
73	6936	9685	4279	3629
74	6930	9639	4322	3638
75	6782	9761	4305	3681
76	6789	9772	4278	3690
77	6747	9767	4362	3653
78	6773	9609	4437	3710
79	6895	9538	4429	3667
80	7013	9618	4434	3464
81	6863	9746	4340	3580
82	7043	9571	4382	3533
83	7032	9678	4167	3652
84	7023	9597	4273	3636
85	7010	9566	4354	3599
86	6984	9661	4288	3596
87	6967	9628	4364	3570
88	6968	9727	4337	3497
89	6935	9630	4268	3696
90	7150	9520	4310	3549
91	7202	9590	4196	3541
92	7174	9600	4170	3585
93	7194	9579	4272	3484
94	7087	9544	4326	3572
95	7188	9448	4238	3655
96	7240	9443	4267	3579
97	7249	9507	4270	3503
98	7187	9530	4233	3579
99	7172	9481	4340	3536
100	7227	9622	4193	3487
101	7334	9358	4242	3595
102	7207	9575	4213	3534
103	7410	9455	4214	3450
104	7221	9513	4257	3538
105	7180	9422	4454	3473
106	7276	9534	4180	3539
107	7311	9457	4310	3451
108	7384	9549	4223	3373
109	7413	9390	4255	3471
110	7194	9584	4196	3555
111	7359	9541	4174	3455
112	7272	9498	4271	3488
113	7385	9480	4130	3534
114	7295	9622	4085	3527
115	7383	9515	4082	3549
116	7457	9501	4043	3528
117	7424	9628	3947	3530
118	7499	9467	3998	3565
119	7455	9477	3964	3633
120	7448	9722	3827	3532
121	7594	9619	3926	3390
122	7680	9548	3829	3472
123	7761	9554	3828	3386
124	8140	9540	3706	3143
125	8283	9418	3663	3165
126	8561	9250	3670	3048
127	8889	9006	3765	2869
128	9259	8870	3537	2863
129	9595	8587	3635	2712
130	9902	8530	3494	2603
131	10231	8237	3472	2589
132	10419	8056	3468	2586
133	10306	8011	3475	2737
134	10064	7937	3732	2796
135	9987	7790	3880	2872
136	9653	8090	3822	2964
137	9274	8308	3927	3020
138	8726	8697	3887	3219
139	8214	9179	3900	3236
140	7489	9734	3963	3343
141	6744	10713	3848	3224
142	5895	11699	3802	3133
143	5536	12717	3398	2878
144	4960	13518	3176	2875
145	5129	13058	3251	3091
146	5352	11796	3872	3509
147	5546	11020	4137	3826
148	6298	9976	3955	4300
149	4624	11310	4173	4422
150	1338	9123	4114	9954
151	19645	2902	952	1030
152	12056	7847	2224	2402
153	9008	9975	2620	2926
154	6527	10395	3677	3930
155	6811	9266	4321	4131
156	6518	9526	4245	4240
157	6628	9572	4390	3939
158	6447	9701	4678	3703
159	6017	9998	5004	3510
160	5601	10092	4857	3979
161	5667	10114	4572	4176
162	5950	10243	3993	4343
163	6710	9804	3714	4301
164	7371	9494	3573	4091
165	7668	9287	3647	3927
166	7839	9252	3582	3856
167	7790	9144	3710	3885
168	7715	9204	3789	3821
169	7705	9134	3799	3891
170	7897	9173	3833	3626
