positions	A_count	T_count	G_count	C_count
1	7269	8982	7569	6273
2	7326	8860	7640	6267
3	7309	9032	7509	6243
4	7499	8910	7468	6216
5	7252	9092	7485	6264
6	7287	8981	7561	6264
7	7335	9065	7444	6249
8	7352	9068	7469	6204
9	7395	9204	7386	6108
10	7376	9061	7532	6124
11	7283	9230	7445	6135
12	7390	9140	7430	6133
13	7480	9150	7326	6137
14	7307	9180	7434	6172
15	7405	9189	7249	6250
16	7364	9163	7391	6175
17	7334	9266	7232	6261
18	7420	9319	7308	6046
19	7265	9360	7359	6109
20	7360	9324	7271	6138
21	7412	9393	7282	6006
22	7488	9344	7296	5965
23	7349	9538	7265	5941
24	7494	9297	7303	5999
25	7299	9471	7306	6017
26	7296	9473	7232	6092
27	7300	9492	7281	6020
28	7587	9534	7069	5903
29	7482	9518	7163	5930
30	7270	9639	7250	5934
31	7314	9482	7319	5978
32	7361	9591	7177	5964
33	7350	9614	7242	5887
34	7439	9748	7115	5791
35	7314	9703	7163	5913
36	7378	9594	7282	5839
37	7353	9672	7174	5894
38	7349	9551	7178	6015
39	7342	9670	7167	5914
40	7449	9811	7021	5812
41	7377	9804	7144	5768
42	7314	9839	7170	5770
43	7125	9873	7254	5841
44	7319	9834	7193	5747
45	7370	9802	7085	5836
46	7350	9809	6989	5945
47	7432	9746	7094	5821
48	7450	9721	7118	5804
49	7412	9823	6989	5869
50	7318	9830	7123	5822
51	7401	9895	7068	5729
52	7380	9929	6926	5858
53	7492	9738	7145	5718
54	7380	9854	7083	5776
55	7359	10001	7201	5532
56	7312	9935	7063	5783
57	7369	10070	7022	5632
58	7303	9968	7016	5806
59	7634	9871	6929	5659
60	7474	9964	7084	5571
61	7340	10073	7067	5613
62	7395	10001	7005	5692
63	7328	10048	7103	5614
64	7506	9978	6872	5737
65	7561	10023	6840	5669
66	7430	9904	6952	5807
67	7534	10056	6862	5641
68	7441	10058	6970	5624
69	7440	10154	6827	5672
70	7427	9951	6915	5800
71	7317	10137	7026	5613
72	7395	10066	6895	5737
73	7419	9952	7031	5691
74	7484	9913	6938	5758
75	7388	10110	6966	5629
76	7560	9803	7056	5674
77	7526	10162	6864	5541
78	7594	10017	6782	5700
79	7627	10104	6715	5647
80	7446	9941	7061	5645
81	7365	10208	6769	5751
82	7589	9943	6907	5654
83	7607	9955	6931	5600
84	7473	10094	6932	5594
85	7618	9948	6806	5721
86	7515	10093	6796	5689
87	7509	10154	6849	5581
88	7401	10168	6894	5630
89	7606	10153	6769	5565
90	7526	10202	6813	5552
91	7561	10288	6644	5600
92	7663	9990	6818	5622
93	7655	9954	6830	5654
94	7621	10133	6733	5606
95	7747	10070	6738	5538
96	7590	10165	6693	5645
97	7695	10178	6621	5599
98	7783	10194	6647	5469
99	7950	10015	6599	5529
100	7869	10171	6609	5444
101	7879	10154	6629	5431
102	7835	10118	6708	5432
103	7836	10179	6718	5360
104	7884	10265	6552	5392
105	8035	10121	6581	5356
106	7934	10228	6591	5340
107	7994	10322	6523	5254
108	8057	10251	6517	5268
109	7939	10200	6583	5371
110	8070	10111	6534	5378
111	8137	10379	6302	5275
112	8058	10233	6402	5400
113	8085	10206	6375	5427
114	8106	10183	6391	5413
115	8177	10298	6239	5379
116	8251	10215	6153	5474
117	8494	10109	6119	5371
118	8460	10317	5941	5375
119	8593	10191	6066	5243
120	8892	10149	5871	5181
121	9056	10020	5909	5108
122	9296	10019	5869	4909
123	9435	9745	5860	5053
124	9741	9993	5646	4713
125	10219	9661	5818	4395
126	10403	9599	5598	4493
127	10972	9315	5593	4213
128	11234	9217	5429	4213
129	11540	9214	5300	4039
130	11765	9023	5490	3815
131	11654	9011	5550	3878
132	11666	8881	5550	3996
133	11737	8536	5630	4190
134	11264	8689	5813	4327
135	10875	8597	6158	4463
136	10064	8848	6339	4842
137	9579	9112	6543	4859
138	8915	9520	6491	5167
139	8253	9935	6636	5269
140	7700	10885	6292	5216
141	7000	12097	6123	4873
142	6199	13420	5885	4589
143	5435	14614	5550	4494
144	5023	15455	5094	4521
145	5152	14714	5363	4864
146	5199	13090	6362	5442
147	4489	12850	6728	6026
148	4176	12953	7503	5461
149	3589	13320	6557	6627
150	182	11943	5479	12489
151	26419	1975	754	945
152	14559	7281	4367	3886
153	9329	10614	4701	5449
154	6915	11936	4882	6360
155	7350	9932	6376	6435
156	6996	10861	6120	6116
157	6418	11331	6580	5764
158	6013	11368	7279	5433
159	5452	11296	7621	5724
160	5039	11757	7449	5848
161	4960	11925	7051	6157
162	5301	11627	6470	6695
163	5974	11282	6051	6786
164	6508	11180	5983	6422
165	6651	11127	6084	6231
166	6854	11061	6025	6152
167	7035	11030	6219	5808
168	7090	10994	6117	5891
169	6982	11014	6262	5834
170	7052	11067	6392	5581
