position	counts	peaker
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	1	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	1	0
61	0	0
62	0	0
63	0	0
64	0	0
65	4	0
66	7	0
67	45	0
68	110	0
69	169	169
70	2	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	12	0
77	33	0
78	0	0
79	1	0
80	0	0
81	9	0
82	1	0
83	1	0
84	0	0
85	0	0
86	0	0
87	0	0
88	17	0
89	36	0
90	2	0
91	9	0
92	374	374
93	43	0
94	31	0
95	21	0
96	19	0
97	164	0
98	557	0
99	918	918
100	297	0
101	165	0
102	91	0
103	40	0
104	77	0
105	16	0
106	15	0
107	12	0
108	10	0
109	71	0
110	2494	2494
111	60	0
112	13	0
113	6	0
114	1	0
115	18	0
116	1	0
117	1	0
118	5	0
119	75	0
120	285	285
121	10	0
122	171	0
123	5	0
124	1	0
125	2	0
126	0	0
127	6	0
128	70	0
129	107	0
130	6	0
131	0	0
132	49	0
133	3	0
134	0	0
135	2	0
136	1	0
137	1	0
138	3	0
139	10	0
140	4	0
141	8	0
142	133	0
143	36	0
144	232	232
145	42	0
146	3	0
147	47	0
148	59	0
149	79	0
150	1945	1945
151	339	0
152	126	0
153	53	0
154	41	0
155	75	0
156	26	0
157	23	0
158	15	0
159	9	0
160	4	0
161	15	0
162	75	0
163	185	0
164	64	0
165	319	319
166	45	0
167	40	0
168	21	0
169	16	0
170	11	0
171	11	0
172	8	0
173	3	0
174	12	0
175	4	0
176	8	0
177	2	0
178	2	0
179	8	0
180	2	0
181	1	0
182	4	0
183	2	0
184	10	0
185	3	0
186	8	0
187	13	0
188	7	0
189	12	0
190	6	0
191	3	0
192	2	0
193	6	0
194	0	0
195	1	0
196	6	0
197	2	0
198	0	0
199	0	0
200	2	0
201	2	0
202	5	0
203	2	0
204	5	0
205	8	0
206	5	0
207	11	0
208	3	0
209	5	0
210	8	0
211	7	0
212	5	0
213	2	0
214	8	0
215	5	0
216	5	0
217	7	0
218	2	0
219	5	0
220	0	0
221	0	0
222	367	367
